x,y,z,yaw,mps,change_flag
703547.028,5268194.484,0,1.9897310277348563,10,0
703546.621,5268195.398,0,1.990137974469239,10,0
703546.214,5268196.311,0,1.9906437023210524,10,0
703545.806,5268197.225,0,1.9901379740898941,10,0
703545.399,5268198.138,0,1.990137974469239,10,0
703544.992,5268199.051,0,1.9906437022148462,10,0
703544.584,5268199.965,0,1.990137974469239,10,0
703544.177,5268200.878,0,1.9897310273562039,10,0
703543.77,5268201.792,0,1.9910513167622625,10,0
703543.362,5268202.705,0,1.990137974469239,10,0
703542.955,5268203.618,0,1.9897310277348563,10,0
703542.548,5268204.532,0,1.9910513162760117,10,0
703542.14,5268205.445,0,1.9897310277348563,10,0
703541.733,5268206.359,0,1.990137974469239,10,0
703541.326,5268207.272,0,1.9910513167622625,10,0
703540.918,5268208.185,0,1.9897310272499114,10,0
703540.511,5268209.099,0,1.990137974469239,10,0
703540.104,5268210.012,0,1.9906437023210524,10,0
703539.696,5268210.926,0,1.990137974469239,10,0
703539.289,5268211.839,0,1.9897310277348563,10,0
703538.882,5268212.753,0,1.9910513162760117,10,0
703538.474,5268213.666,0,1.990137974469239,10,0
703538.067,5268214.579,0,1.9897310277348563,10,0
703537.66,5268215.493,0,1.9910513163822954,10,0
703537.252,5268216.406,0,1.9897310277348563,10,0
703536.845,5268217.32,0,1.990137974469239,10,0
703536.438,5268218.233,0,1.9910513166559787,10,0
703536.03,5268219.146,0,1.9897310277348563,10,0
703535.623,5268220.06,0,1.9901379740898941,10,0
703535.216,5268220.973,0,1.9906437023210524,10,0
703534.808,5268221.887,0,1.990137974469239,10,0
703534.401,5268222.8,0,1.9901379740898941,10,0
703533.994,5268223.713,0,1.9906437022148462,10,0
703533.586,5268224.627,0,1.990137974469239,10,0
703533.179,5268225.54,0,1.9897310277348563,10,0
703532.772,5268226.454,0,1.9910513167622625,10,0
703532.364,5268227.367,0,1.9901379739835237,10,0
703531.957,5268228.28,0,1.9897310277348563,10,0
703531.55,5268229.194,0,1.9910513167622625,10,0
703531.142,5268230.107,0,1.9897310277348563,10,0
703530.735,5268231.021,0,1.9901379740898941,10,0
703530.328,5268231.934,0,1.9906437022148462,10,0
703529.92,5268232.848,0,1.990137974469239,10,0
703529.513,5268233.761,0,1.990137974469239,10,0
703529.106,5268234.674,0,1.9897310273562039,10,0
703528.699,5268235.588,0,1.9910513167622625,10,0
703528.291,5268236.501,0,1.9897310277348563,10,0
703527.884,5268237.415,0,1.990137974469239,10,0
703527.477,5268238.328,0,1.9910513162760117,10,0
703527.069,5268239.241,0,1.9897310277348563,10,0
703526.662,5268240.155,0,1.990137974469239,10,0
703526.255,5268241.068,0,1.9906437023210524,10,0
703525.847,5268241.982,0,1.990137974469239,10,0
703525.44,5268242.895,0,1.9901379739835237,10,0
703525.033,5268243.808,0,1.9906437023210524,10,0
703524.625,5268244.722,0,1.990137974469239,10,0
703524.218,5268245.635,0,1.9897310277348563,10,0
703523.811,5268246.549,0,1.9910513162760117,10,0
703523.403,5268247.462,0,1.9897310277348563,10,0
703522.996,5268248.376,0,1.990137974469239,10,0
703522.589,5268249.289,0,1.9910513167622625,10,0
703522.181,5268250.202,0,1.9897310273562039,10,0
703521.774,5268251.116,0,1.990137974469239,10,0
703521.367,5268252.029,0,1.9906437022148462,10,0
703520.959,5268252.943,0,1.990137974469239,10,0
703520.552,5268253.856,0,1.9901379740898941,10,0
703520.145,5268254.769,0,1.9906437023210524,10,0
703519.737,5268255.683,0,1.990137974469239,10,0
703519.33,5268256.596,0,1.9897310277348563,10,0
703518.923,5268257.51,0,1.9910513162760117,10,0
703518.515,5268258.423,0,1.990137974469239,10,0
703518.108,5268259.336,0,1.9897310277348563,10,0
703517.701,5268260.25,0,1.9910513167622625,10,0
703517.293,5268261.163,0,1.9897310276285638,10,0
703516.886,5268262.077,0,1.9901379740898941,10,0
703516.479,5268262.99,0,1.9910513167622625,10,0
703516.071,5268263.903,0,1.9897310277348563,10,0
703515.664,5268264.817,0,1.9901379740898941,10,0
703515.257,5268265.73,0,1.9906437022148462,10,0
703514.849,5268266.644,0,1.990137974469239,10,0
703514.442,5268267.557,0,1.9897310277348563,10,0
703514.035,5268268.471,0,1.9910513167622625,10,0
703513.627,5268269.384,0,1.9901379740898941,10,0
703513.22,5268270.297,0,1.9897310277348563,10,0
703512.813,5268271.211,0,1.990137974469239,10,0
703512.406,5268272.124,0,1.9906437022148462,10,0
703511.998,5268273.038,0,1.9901379740898941,10,0
703511.591,5268273.951,0,1.990137974469239,10,0
703511.184,5268274.864,0,1.9906437023210524,10,0
703510.776,5268275.778,0,1.990137974469239,10,0
703510.369,5268276.691,0,1.9897310272499114,10,0
703509.962,5268277.605,0,1.9910513167622625,10,0
703509.554,5268278.518,0,1.990137974469239,10,0
703509.147,5268279.431,0,1.9897310277348563,10,0
703508.74,5268280.345,0,1.9910513162760117,10,0
703508.332,5268281.258,0,1.9897310277348563,10,0
703507.925,5268282.172,0,1.990137974469239,10,0
703507.518,5268283.085,0,1.9906437023210524,10,0
703507.11,5268283.999,0,1.990137974469239,10,0
703506.703,5268284.912,0,1.9901379740898941,10,0
703506.296,5268285.825,0,1.9906437022148462,10,0
703505.888,5268286.739,0,1.990137974469239,10,0
703505.481,5268287.652,0,1.9897310277348563,10,0
703505.074,5268288.566,0,1.9910513163822954,10,0
703504.666,5268289.479,0,1.990137974469239,10,0
703504.259,5268290.392,0,1.9897310277348563,10,0
703503.852,5268291.306,0,1.9910513166559787,10,0
703503.444,5268292.219,0,1.9897310273562039,10,0
703503.037,5268293.133,0,1.990137974469239,10,0
703502.63,5268294.046,0,1.990137974469239,10,0
703502.223,5268294.959,0,1.9906437023210524,10,0
703501.815,5268295.873,0,1.9901379739835237,10,0
703501.408,5268296.786,0,1.9897310277348563,10,0
703501.001,5268297.7,0,1.9910513167622625,10,0
703500.593,5268298.613,0,1.9897310277348563,10,0
703500.186,5268299.527,0,1.9901379740898941,10,0
703499.779,5268300.44,0,1.9910513166559787,10,0
703499.371,5268301.353,0,1.9897310277348563,10,0
703498.964,5268302.267,0,1.990137974469239,10,0
703498.557,5268303.18,0,1.9906437023210524,10,0
703498.149,5268304.094,0,1.9901379740898941,10,0
703497.742,5268305.007,0,1.990137974469239,10,0
703497.335,5268305.92,0,1.9906437022148462,10,0
703496.927,5268306.834,0,1.9901379740898941,10,0
703496.52,5268307.747,0,1.9897310277348563,10,0
703496.113,5268308.661,0,1.9910513167622625,10,0
703495.705,5268309.574,0,1.990137974469239,10,0
703495.298,5268310.487,0,1.9897310277348563,10,0
703494.891,5268311.401,0,1.9910513162760117,10,0
703494.483,5268312.314,0,1.9897310277348563,10,0
703494.076,5268313.228,0,1.990137974469239,10,0
703493.669,5268314.141,0,1.9897310277348563,10,0
703493.262,5268315.055,0,1.9910513162760117,10,0
703492.854,5268315.968,0,1.990137974469239,10,0
703492.447,5268316.881,0,1.9897310277348563,10,0
703492.04,5268317.795,0,1.9910513167622625,10,0
703491.632,5268318.708,0,1.9897310273562039,10,0
703491.225,5268319.622,0,1.990137974469239,10,0
703490.818,5268320.535,0,1.9910513166559787,10,0
703490.41,5268321.448,0,1.9897310277348563,10,0
703490.003,5268322.362,0,1.9901379740898941,10,0
703489.596,5268323.275,0,1.9906437023210524,10,0
703489.188,5268324.189,0,1.990137974469239,10,0
703488.781,5268325.102,0,1.990137974469239,10,0
703488.374,5268326.015,0,1.9906437022148462,10,0
703487.966,5268326.929,0,1.9901379740898941,10,0
703487.559,5268327.842,0,1.9897310277348563,10,0
703487.152,5268328.756,0,1.9910513167622625,10,0
703486.744,5268329.669,0,1.9897310276285638,10,0
703486.337,5268330.583,0,1.9901379740898941,10,0
703485.93,5268331.496,0,1.990137974469239,10,0
703485.523,5268332.409,0,1.9906437023210524,10,0
703485.115,5268333.323,0,1.990137974469239,10,0
703484.708,5268334.236,0,1.9897310273562039,10,0
703484.301,5268335.15,0,1.9910513166559787,10,0
703483.893,5268336.063,0,1.990137974469239,10,0
703483.486,5268336.976,0,1.9897310277348563,10,0
703483.079,5268337.89,0,1.9910513163822954,10,0
703482.671,5268338.803,0,1.9897310277348563,10,0
703482.264,5268339.717,0,1.990137974469239,10,0
703481.857,5268340.63,0,1.9906437022148462,10,0
703481.449,5268341.544,0,1.9901379740898941,10,0
703481.042,5268342.457,0,1.990137974469239,10,0
703480.635,5268343.37,0,1.9906437023210524,10,0
703480.227,5268344.284,0,1.990137974469239,10,0
703479.82,5268345.197,0,1.9897310277348563,10,0
703479.413,5268346.111,0,1.9901379739835237,10,0
703479.006,5268347.024,0,1.9910513167622625,10,0
703478.598,5268347.937,0,1.9897310277348563,10,0
703478.191,5268348.851,0,1.9901379740898941,10,0
703477.784,5268349.764,0,1.9906437022148462,10,0
703477.376,5268350.678,0,1.990137974469239,10,0
703476.969,5268351.591,0,1.990137974469239,10,0
703476.562,5268352.504,0,1.9906437023210524,10,0
703476.154,5268353.418,0,1.9901379740898941,10,0
703475.747,5268354.331,0,1.9897310277348563,10,0
703475.34,5268355.245,0,1.9910513166559787,10,0
703474.932,5268356.158,0,1.9897310277348563,10,0
