Point_ID,Lat,Lon,UTM_E,UTM_N,x,y,z,mps,change_flag,yaw
1,47.535267952,17.704565145,703547.028,5268194.484,703547.028,5268194.484,0,10,0,1.98493487755387
2,47.535268777464545,17.704564651571356,703546.988,5268194.575,703546.988,5268194.575,0,10,0,1.9890206573342522
3,47.53526960292909,17.704564158142713,703546.948,5268194.665,703546.948,5268194.665,0,10,0,1.9941070821480382
4,47.53527042839364,17.704563664714073,703546.907,5268194.756,703546.907,5268194.756,0,10,0,1.9890206573342522
5,47.535271253858184,17.70456317128543,703546.867,5268194.846,703546.867,5268194.846,0,10,0,1.984934876481732
6,47.53527207932273,17.704562677856785,703546.827,5268194.937,703546.827,5268194.937,0,10,0,1.9982606412145805
7,47.53527290478728,17.70456218442814,703546.786,5268195.027,703546.786,5268195.027,0,10,0,1.98902065625411
8,47.535273730251824,17.7045616909995,703546.746,5268195.117,703546.746,5268195.117,0,10,0,1.98493487755387
9,47.53527455571637,17.704561197570857,703546.706,5268195.208,703546.706,5268195.208,0,10,0,1.998260636239465
10,47.53527538118092,17.704560704142214,703546.665,5268195.298,703546.665,5268195.298,0,10,0,1.98493487755387
11,47.53527620664546,17.70456021071357,703546.625,5268195.389,703546.625,5268195.389,0,10,0,1.9890206573342522
12,47.53527703211001,17.70455971728493,703546.585,5268195.479,703546.585,5268195.479,0,10,0,1.9941070821480382
13,47.535277857574556,17.704559223856286,703546.544,5268195.57,703546.544,5268195.57,0,10,0,1.9890206573342522
14,47.5352786830391,17.704558730427642,703546.504,5268195.66,703546.504,5268195.66,0,10,0,1.98902065625411
15,47.53527950850365,17.704558236999,703546.464,5268195.75,703546.464,5268195.75,0,10,0,1.9941070832114587
16,47.535280333968196,17.70455774357036,703546.423,5268195.841,703546.423,5268195.841,0,10,0,1.98902065625411
17,47.53528115943274,17.704557250141715,703546.383,5268195.931,703546.383,5268195.931,0,10,0,1.98493487755387
18,47.53528198489729,17.70455675671307,703546.343,5268196.022,703546.343,5268196.022,0,10,0,1.9982606401433833
19,47.535282810361835,17.704556263284427,703546.302,5268196.112,703546.302,5268196.112,0,10,0,1.98493487755387
20,47.53528363582638,17.704555769855787,703546.262,5268196.203,703546.262,5268196.203,0,10,0,1.9890206573342522
21,47.53528446129093,17.704555276427143,703546.222,5268196.293,703546.222,5268196.293,0,10,0,1.9941070821480382
22,47.535285286755474,17.7045547829985,703546.181,5268196.384,703546.181,5268196.384,0,10,0,1.9890206534937467
23,47.53528611222002,17.704554289569856,703546.141,5268196.474,703546.141,5268196.474,0,10,0,1.98902065625411
24,47.53528693768457,17.704553796141216,703546.101,5268196.564,703546.101,5268196.564,0,10,0,1.9941070821480382
25,47.535287763149114,17.704553302712572,703546.06,5268196.655,703546.06,5268196.655,0,10,0,1.9890206573342522
26,47.53528858861366,17.70455280928393,703546.02,5268196.745,703546.02,5268196.745,0,10,0,1.98493487755387
